t__s,ACT_RUDDER.Position_CMD,ACT_RUDDER.Position_FB,ACT_RUDDER.Torque_FB,ACT_RUDDER.Temperature_FB__dC,ACT_RUDDER.Voltage_FB__V
-0.007996,8320,8324,0,25,6.08
0.091938,8320,8324,0,25,6.1
0.191936,8320,8324,0,25,6.1
0.291937,8320,8324,0,25,6.1
0.392,8320,8324,0,25,6.1
0.491998,8320,8324,0,25,6.1
0.591999,8320,8324,0,25,6.1
0.692,8320,8324,0,25,6.1
0.792012,8320,8324,0,25,6.1
0.892,8320,8324,0,25,6.1
0.991998,8320,8324,0,25,6.1
1.095956,8362,8392,0,25,5.94
1.195977,8363,8368,51,25,5.94
1.295957,8363,8368,51,25,5.94
1.39599,8363,8368,51,25,7.46
1.495955,8364,8368,56,25,7.46
1.595997,8364,8368,56,25,7.46
1.695955,8364,8368,56,25,7.46
1.79596,8364,8368,0,25,7.46
1.895977,8364,8368,0,25,7.47
1.995956,8364,8368,0,25,7.47
2.095955,8364,8368,0,25,7.47
2.195958,8364,8368,0,25,7.47
2.295955,8364,8368,0,25,7.47
2.395977,8364,8368,0,25,7.47
2.495981,8364,8368,0,25,7.47
2.599935,8364,8368,0,25,7.47
2.699952,8364,8368,0,25,7.46
2.799956,8364,8368,0,25,7.46
2.899986,8364,8368,0,25,7.46
2.999954,8364,8368,0,25,7.46
3.099936,8364,8368,0,25,7.47
3.199984,8364,8368,0,25,7.47
3.299949,8364,8368,0,25,7.47
3.399944,8364,8368,0,25,7.47
3.499935,8364,8368,0,25,7.47
3.599935,8364,8368,0,25,7.47
3.69996,8364,8368,0,25,7.47
3.799935,8364,8368,0,25,7.47
3.899936,8364,8368,0,25,7.47
3.999936,8364,8368,0,25,7.47
4.099961,8364,8368,0,25,7.47
4.199936,8364,8368,0,25,7.47
4.299935,8364,8368,0,25,7.47
4.399936,8364,8368,0,25,7.47
4.499959,8364,8368,0,25,7.47
4.599935,8364,8368,0,25,7.47
4.699942,8364,8368,0,25,7.47
4.799935,8364,8368,0,25,7.47
4.899987,8364,8368,0,25,7.47
4.999935,8364,8368,0,25,7.47
5.099934,8364,8368,0,25,7.47
5.199934,8364,8368,0,25,7.47
5.299958,8364,8368,0,25,7.47
5.399941,8364,8368,0,25,7.47
5.499935,8364,8368,0,25,7.47
5.599934,8364,8368,0,25,7.47
5.699961,8364,8368,0,25,7.47
5.799946,8364,8368,0,25,7.47
5.899935,8364,8368,0,25,7.47
5.999934,8364,8368,0,25,7.47
6.09998,8364,8368,0,25,7.47
6.199934,8343,8356,63,25,7.47
6.299938,8301,8340,63,25,7.47
6.399936,6688,7804,63,25,6.01
6.499955,6958,6776,98,25,6.01
6.599934,7324,7108,98,25,6.01
6.699936,7595,7444,98,25,6.08
6.799937,7795,7684,525,25,6.08
6.899955,7944,7864,525,25,6.1
6.999943,8054,8000,525,25,6.1
7.099935,9808,8096,525,25,6.1
7.199936,9787,9280,3069,25,6.1
7.299958,9404,9624,3069,25,6.1
7.399935,9142,9284,3069,25,6.08
7.499936,8958,9064,214,25,6.08
7.599935,8806,8888,214,25,6.08
7.699959,9713,8784,214,25,6.11
7.799948,9808,9708,510,25,6.11
7.899935,9731,9768,510,25,6.08
7.999943,9377,9592,510,25,6.08
8.099979,9115,9272,510,25,6.1
8.199935,8920,9040,17,25,6.1
8.299936,6793,8644,17,25,6.1
8.399952,7194,7144,17,25,6.11
8.499959,7498,7324,465,25,6.11
8.599948,7723,7596,465,25,6.11
8.699943,7891,7796,465,25,6.1
8.799958,8014,7948,66,25,6.1
8.899958,8106,8056,66,25,6.1
8.999935,8177,8136,66,25,6.1
9.099936,8249,8216,66,25,6.02
9.199935,8283,8256,194,25,6.02
9.299947,8305,8284,194,25,6.02
9.399935,8322,8304,194,25,6.1
9.499936,8333,8316,134,25,6.1
9.599934,8330,8328,134,25,6.1
9.699947,8327,8328,134,25,6.11
9.799949,8335,8328,0,25,6.11
9.899944,8342,8328,0,25,6.11
9.999934,8348,8332,0,25,6.11
10.099947,8352,8340,0,25,6.1
10.199935,8358,8340,143,25,6.1
10.299934,8373,8352,143,25,6.1
10.399936,8378,8368,143,25,6.06
10.499947,8376,8368,102,25,6.06
10.599934,8373,8368,102,25,6.06
10.699936,8371,8368,102,25,6.11
10.799997,8369,8368,0,25,6.11
10.900018,8368,8368,0,25,6.12
10.999942,8338,8368,0,25,6.12
11.099935,8349,8344,0,25,6.05
11.199935,8355,8344,88,25,6.05
11.299979,8356,8348,88,25,6.05
11.399936,8358,8348,88,25,6.11
11.499936,8360,8352,80,25,6.11
11.599936,8361,8352,80,25,6.11
11.699959,8362,8352,80,25,6.11
11.799933,6816,8324,569,25,6.11
11.899951,6817,7392,569,25,6.02
11.999934,6817,6852,569,25,6.02
12.099987,6817,6852,569,25,6.07
12.199935,6818,6852,317,25,6.07
12.299935,6818,6852,317,25,6.07
12.399955,6818,6852,317,25,6.08
12.499958,6818,6852,351,25,6.08
12.599934,6818,6852,351,25,6.08
12.699935,6818,6852,351,25,6.08
12.799936,6818,6852,385,25,6.08
12.899979,8364,7320,385,25,6
12.999935,8364,8360,385,25,6
13.099936,8364,8364,385,25,6.11
13.199934,8364,8364,0,25,6.11
13.299974,8364,8364,0,25,6.11
13.399935,9778,8568,0,25,5.96
13.499935,9778,9720,503,25,5.96
13.599934,9778,9744,503,25,5.96
13.699976,9778,9744,503,25,6.07
13.799937,9778,9744,322,25,6.07
13.899935,9778,9744,322,25,6.08
13.999943,9778,9744,322,25,6.08
14.099976,9778,9744,322,25,6.08
14.199936,9778,9744,370,25,6.08
14.299934,9778,9744,370,25,6.08
14.399934,9778,9744,370,25,6.09
14.49999,8364,9240,2794,25,6.09
14.599935,8364,8364,2794,25,6.09
14.699952,8364,8364,2794,25,6.11
14.799935,8364,8364,0,25,6.11
14.899977,8364,8364,0,25,6.11
14.999934,8364,8364,0,25,6.11
15.099935,8364,8364,0,25,6.11
15.199936,8364,8364,0,25,6.11
15.299975,8364,8364,0,25,6.11
15.399936,8364,8364,0,25,6.11
15.499935,8364,8364,0,25,6.11
15.599936,8364,8364,0,25,6.11
15.699978,8364,8364,0,25,6.11
15.804073,8364,8364,0,25,6.11
15.904052,8364,8364,0,25,6.11
16.004039,8364,8364,0,25,6.11
16.104047,8364,8364,0,25,6.11
16.204047,8364,8364,0,25,6.11
16.304046,8364,8364,0,25,6.11
16.404041,8364,8364,0,25,6.11
16.50404,8364,8364,0,25,6.11
16.604039,8364,8364,0,25,6.11
16.704038,8364,8364,0,25,6.11
16.804038,8364,8364,0,25,6.11
16.904047,8364,8364,0,25,6.11
17.004055,8364,8364,0,25,6.11
17.104041,8364,8364,0,25,6.11
17.204038,8364,8364,0,25,6.11
17.304038,8364,8364,0,25,6.11
17.404046,8364,8364,0,25,6.11
17.504044,8364,8364,0,25,6.11
17.604039,8364,8364,0,25,6.11
17.704055,8364,8364,0,25,6.11
17.807948,8364,8364,0,25,6.11
17.907947,8364,8364,0,25,6.11
18.007955,8364,8364,0,25,6.11
18.107947,8364,8364,0,25,6.11
18.207948,8364,8364,0,25,6.11
18.307948,8364,8364,0,25,6.11
18.407948,8364,8364,0,25,6.11
18.507949,8364,8364,0,25,6.11
18.60795,8364,8364,0,25,6.11
18.707948,8364,8364,0,25,6.11
18.808009,8364,8364,0,25,6.11
18.90801,8364,8364,0,25,6.11
19.008011,8364,8364,0,25,6.11
19.108018,8364,8364,0,25,6.11
19.20801,8364,8364,0,25,6.11
