t__s,ACT_TILT_CENTER_REAR.Position_CMD,ACT_TILT_CENTER_REAR.Position_FB,ACT_TILT_CENTER_REAR.Torque_FB,ACT_TILT_CENTER_REAR.Temperature_FB__dC,ACT_TILT_CENTER_REAR.Voltage_FB__V
-0.007996,7824,7808,685,34,6.08
0.091938,7824,7808,685,34,6.11
0.191936,7824,7808,303,34,6.11
0.291937,7824,7808,303,34,6.11
0.392,7824,7808,303,34,6.1
0.491998,7824,7808,402,34,6.1
0.591999,7824,7808,402,34,6.1
0.692,7824,7808,402,34,6.11
0.792012,7824,7808,501,34,6.11
0.892,7824,7808,501,34,6.1
0.991998,7824,7808,501,34,6.1
1.095956,6385,7260,501,34,5.88
1.195977,6385,6412,476,34,5.88
1.295957,6385,6388,476,34,5.88
1.39599,6385,6384,476,34,7.45
1.495955,6385,6388,0,34,7.45
1.595997,6385,6388,0,34,7.45
1.695955,6385,6384,0,34,7.45
1.79596,6385,6388,0,34,7.45
1.895977,6385,6384,0,34,7.45
1.995956,6385,6388,0,34,7.45
2.095955,6385,6388,0,34,7.45
2.195958,6385,6388,0,34,7.45
2.295955,6385,6384,0,34,7.45
2.395977,6385,6384,0,34,7.45
2.495981,6385,6388,0,34,7.45
2.599935,6385,6384,0,34,7.45
2.699952,6385,6384,0,34,7.46
2.799956,6385,6384,0,34,7.46
2.899986,6385,6384,0,34,7.45
2.999954,6385,6388,0,35,7.45
3.099936,6385,6388,0,35,7.45
3.199984,6385,6384,0,35,7.45
3.299949,6385,6388,0,35,7.45
3.399944,6385,6384,0,35,7.45
3.499935,6385,6384,0,35,7.45
3.599935,6385,6384,0,35,7.45
3.69996,6385,6384,0,35,7.46
3.799935,6385,6384,0,35,7.46
3.899936,6385,6388,0,35,7.45
3.999936,6385,6384,0,35,7.45
4.099961,6385,6384,0,35,7.45
4.199936,6385,6384,0,35,7.45
4.299935,6385,6384,0,35,7.45
4.399936,6385,6384,0,35,7.45
4.499959,6385,6384,0,35,7.45
4.599935,6385,6384,0,35,7.45
4.699942,6385,6384,0,35,7.45
4.799935,6385,6384,0,35,7.45
4.899987,6385,6384,0,35,7.45
4.999935,6385,6384,0,35,7.45
5.099934,6385,6384,0,35,7.44
5.199934,6385,6384,0,35,7.44
5.299958,6385,6384,0,35,7.44
5.399941,6385,6384,0,35,7.44
5.499935,6385,6384,0,35,7.44
5.599934,6385,6388,0,35,7.44
5.699961,6385,6384,0,35,7.44
5.799946,6385,6384,0,35,7.44
5.899935,6385,6388,0,35,7.44
5.999934,6385,6384,0,35,7.44
6.09998,6385,6388,0,35,7.44
6.199934,6385,6384,0,35,7.44
6.299938,6385,6384,0,35,7.44
6.399936,6385,6384,0,35,6.01
6.499955,6385,6384,0,35,6.01
6.599934,6385,6384,0,35,6.01
6.699936,6385,6384,0,35,6.08
6.799937,6385,6384,0,35,6.08
6.899955,6385,6388,0,35,6.1
6.999943,6385,6384,0,35,6.1
7.099935,6385,6384,0,35,6.11
7.199936,6385,6384,0,35,6.11
7.299958,6385,6384,0,35,6.11
7.399935,6385,6384,0,35,6.09
7.499936,6385,6384,0,35,6.09
7.599935,6385,6384,0,35,6.09
7.699959,6385,6384,0,35,6.12
7.799948,6385,6384,0,35,6.12
7.899935,6385,6384,0,35,6.08
7.999943,6385,6384,0,35,6.08
8.099979,6385,6384,0,35,6.11
8.199935,6385,6384,0,35,6.11
8.299936,6385,6388,0,35,6.11
8.399952,6385,6384,0,35,6.12
8.499959,6385,6384,0,35,6.12
8.599948,6385,6384,0,35,6.12
8.699943,6385,6384,0,35,6.11
8.799958,6385,6384,0,35,6.11
8.899958,6385,6384,0,35,6.11
8.999935,6385,6384,0,35,6.11
9.099936,6385,6388,0,35,6.06
9.199935,6385,6384,0,35,6.06
9.299947,6385,6384,0,35,6.06
9.399935,6385,6384,0,35,6.11
9.499936,6385,6384,0,35,6.11
9.599934,6385,6384,0,35,6.11
9.699947,6385,6384,0,35,6.11
9.799949,6385,6384,0,35,6.11
9.899944,6385,6384,0,35,6.11
9.999934,6385,6388,0,35,6.11
10.099947,6385,6384,0,35,6.11
10.199935,6385,6384,0,35,6.11
10.299934,6385,6384,0,35,6.11
10.399936,6385,6388,0,35,6.08
10.499947,6385,6384,0,35,6.08
10.599934,6385,6384,0,35,6.08
10.699936,6385,6384,0,35,6.12
10.799997,6385,6384,0,35,6.12
10.900018,6385,6384,0,35,6.12
10.999942,6385,6384,0,35,6.12
11.099935,6385,6384,0,35,6.02
11.199935,6385,6388,0,35,6.02
11.299979,6385,6384,0,35,6.02
11.399936,6385,6384,0,35,6.11
11.499936,6385,6384,0,35,6.11
11.599936,6385,6384,0,35,6.11
11.699959,6385,6384,0,35,6.11
11.799933,6385,6384,0,35,6.11
11.899951,6385,6384,0,35,6.03
11.999934,6385,6384,0,35,6.03
12.099987,6385,6388,0,35,6.08
12.199935,6385,6384,0,35,6.08
12.299935,6385,6384,0,35,6.08
12.399955,6385,6384,0,35,6.09
12.499958,6385,6388,0,35,6.09
12.599934,6385,6384,0,35,6.09
12.699935,6385,6388,0,35,6.09
12.799936,6385,6388,0,35,6.09
12.899979,6385,6384,0,35,6.02
12.999935,6385,6384,0,35,6.02
13.099936,6385,6384,0,35,6.11
13.199934,6385,6384,0,35,6.11
13.299974,6385,6388,0,35,6.11
13.399935,6385,6384,0,35,5.98
13.499935,6385,6384,0,35,5.98
13.599934,6385,6384,0,35,5.98
13.699976,6385,6384,0,35,6.08
13.799937,6385,6384,0,35,6.08
13.899935,6385,6384,0,35,6.09
13.999943,6385,6384,0,35,6.09
14.099976,6385,6384,0,35,6.09
14.199936,6385,6384,0,35,6.09
14.299934,6385,6384,0,35,6.09
14.399934,6385,6384,0,35,6.1
14.49999,6385,6384,0,35,6.1
14.599935,6385,6384,0,35,6.1
14.699952,6385,6384,0,35,6.12
14.799935,6385,6384,0,35,6.12
14.899977,6385,6388,0,35,6.12
14.999934,6385,6384,0,35,6.12
15.099935,6385,6384,0,35,6.12
15.199936,6385,6384,0,35,6.12
15.299975,6385,6384,0,35,6.12
15.399936,6385,6384,0,35,6.12
15.499935,6385,6384,0,35,6.12
15.599936,6385,6384,0,35,6.12
15.699978,6385,6384,0,35,6.12
15.804073,6385,6384,0,35,6.12
15.904052,6385,6384,0,35,6.12
16.004039,6385,6388,0,35,6.12
16.104047,6385,6384,0,35,6.12
16.204047,6385,6384,0,35,6.12
16.304046,6385,6384,0,35,6.12
16.404041,6385,6384,0,35,6.12
16.50404,6385,6384,0,35,6.12
16.604039,6385,6384,0,35,6.12
16.704038,6385,6384,0,35,6.12
16.804038,6385,6384,0,35,6.12
16.904047,6385,6384,0,35,6.12
17.004055,6385,6388,0,35,6.12
17.104041,6385,6384,0,35,6.12
17.204038,6385,6384,0,35,6.12
17.304038,6385,6384,0,35,6.12
17.404046,6385,6384,0,35,6.12
17.504044,6385,6388,0,35,6.12
17.604039,6385,6384,0,35,6.12
17.704055,6385,6384,0,35,6.12
17.807948,6385,6384,0,35,6.12
17.907947,6385,6384,0,35,6.12
18.007955,6385,6388,0,35,6.12
18.107947,6385,6384,0,35,6.12
18.207948,6385,6384,0,35,6.12
18.307948,6385,6384,0,35,6.12
18.407948,6385,6384,0,35,6.12
18.507949,6385,6384,0,35,6.12
18.60795,6385,6384,0,35,6.12
18.707948,6385,6384,0,35,6.12
18.808009,6385,6384,0,35,6.12
18.90801,6385,6384,0,35,6.12
19.008011,6385,6384,0,35,6.12
19.108018,6385,6384,0,35,6.12
