t__s,ACT_TILT_RIGHT_FRONT.Position_CMD,ACT_TILT_RIGHT_FRONT.Position_FB,ACT_TILT_RIGHT_FRONT.Torque_FB,ACT_TILT_RIGHT_FRONT.Temperature_FB__dC,ACT_TILT_RIGHT_FRONT.Voltage_FB__V
-0.007996,8036,8008,52,28,6.05
0.091938,8036,8008,52,28,6.09
0.191936,8036,8008,257,28,6.09
0.291937,8036,8008,257,28,6.09
0.392,8036,8008,257,28,6.07
0.491998,8036,8012,221,28,6.07
0.591999,8036,8008,221,28,6.07
0.692,8036,8012,221,28,6.07
0.792012,8036,8008,385,28,6.07
0.892,8036,8008,385,28,6.08
0.991998,8036,8012,385,28,6.08
1.095956,6732,7448,385,28,5.86
1.195977,6732,6736,0,28,5.86
1.295957,6732,6736,0,28,5.86
1.39599,6732,6736,0,28,7.46
1.495955,6732,6736,0,28,7.46
1.595997,6732,6736,0,28,7.46
1.695955,6732,6736,0,28,7.46
1.79596,6732,6736,0,28,7.46
1.895977,6732,6736,0,28,7.46
1.995956,6732,6736,0,28,7.46
2.095955,6732,6736,0,28,7.46
2.195958,6732,6736,0,28,7.46
2.295955,6732,6736,0,28,7.46
2.395977,6732,6736,0,28,7.46
2.495981,6732,6736,0,28,7.46
2.599935,6732,6736,0,28,7.46
2.699952,6732,6736,0,28,7.46
2.799956,6732,6736,0,28,7.46
2.899986,6732,6736,0,28,7.46
2.999954,6732,6736,0,28,7.46
3.099936,6732,6736,0,28,7.46
3.199984,6732,6736,0,28,7.46
3.299949,6732,6736,0,28,7.46
3.399944,6732,6736,0,28,7.46
3.499935,6732,6736,0,28,7.46
3.599935,6732,6736,0,28,7.46
3.69996,6732,6736,0,28,7.46
3.799935,6732,6736,0,28,7.46
3.899936,6732,6736,0,28,7.46
3.999936,6732,6736,0,28,7.46
4.099961,6732,6736,0,28,7.46
4.199936,6732,6736,0,28,7.46
4.299935,6732,6736,0,28,7.46
4.399936,6732,6736,0,28,7.46
4.499959,6732,6736,0,28,7.46
4.599935,6732,6736,0,28,7.46
4.699942,6732,6736,0,28,7.46
4.799935,6732,6736,0,28,7.46
4.899987,6732,6736,0,28,7.46
4.999935,6732,6736,0,28,7.46
5.099934,6732,6736,0,28,7.46
5.199934,6732,6736,0,28,7.46
5.299958,6732,6736,0,28,7.46
5.399941,6732,6736,0,28,7.46
5.499935,6732,6736,0,28,7.46
5.599934,6732,6736,0,28,7.46
5.699961,6732,6736,0,28,7.46
5.799946,6732,6736,0,28,7.46
5.899935,6732,6736,0,28,7.46
5.999934,6732,6736,0,28,7.46
6.09998,6732,6736,0,28,7.46
6.199934,6732,6736,0,28,7.46
6.299938,6732,6736,0,28,7.46
6.399936,6732,6736,0,28,6.04
6.499955,6732,6736,0,28,6.04
6.599934,6732,6736,0,28,6.04
6.699936,6732,6736,0,28,6.11
6.799937,6732,6736,0,28,6.11
6.899955,6732,6736,0,28,6.11
6.999943,6732,6736,0,28,6.11
7.099935,6732,6736,0,28,6.11
7.199936,6732,6736,0,28,6.11
7.299958,6732,6736,0,28,6.11
7.399935,6732,6736,0,28,6.12
7.499936,6732,6736,0,28,6.12
7.599935,6732,6736,0,28,6.12
7.699959,6732,6736,0,28,6.12
7.799948,6732,6736,0,28,6.12
7.899935,6732,6736,0,28,6.11
7.999943,6732,6736,0,28,6.11
8.099979,6732,6736,0,28,6.11
8.199935,6732,6736,0,28,6.11
8.299936,6732,6736,0,28,6.11
8.399952,6732,6736,0,28,6.12
8.499959,6732,6736,0,28,6.12
8.599948,6732,6736,0,28,6.12
8.699943,6732,6736,0,28,6.12
8.799958,6732,6736,0,28,6.12
8.899958,6732,6736,0,28,6.12
8.999935,6732,6736,0,28,6.12
9.099936,6732,6736,0,28,6.12
9.199935,6732,6736,0,28,6.12
9.299947,6732,6736,0,28,6.12
9.399935,6732,6736,0,28,6.12
9.499936,6732,6736,0,28,6.12
9.599934,6732,6736,0,28,6.12
9.699947,6732,6736,0,28,6.12
9.799949,6732,6736,0,28,6.12
9.899944,6732,6736,0,28,6.12
9.999934,6732,6736,0,28,6.12
10.099947,6732,6736,0,28,6.12
10.199935,6732,6736,0,28,6.12
10.299934,6732,6736,0,28,6.12
10.399936,6732,6736,0,28,6.12
10.499947,6732,6736,0,28,6.12
10.599934,6732,6736,0,28,6.12
10.699936,6732,6736,0,28,6.12
10.799997,6732,6736,0,28,6.12
10.900018,6732,6736,0,28,6.12
10.999942,6732,6736,0,28,6.12
11.099935,6732,6736,0,28,6.12
11.199935,6732,6736,0,28,6.12
11.299979,6732,6736,0,28,6.12
11.399936,6732,6736,0,28,6.12
11.499936,6732,6736,0,28,6.12
11.599936,6732,6736,0,28,6.12
11.699959,6732,6736,0,28,6.12
11.799933,6732,6736,0,28,6.12
11.899951,6732,6736,0,28,6.12
11.999934,6732,6736,0,28,6.12
12.099987,6732,6736,0,28,6.12
12.199935,6732,6736,0,28,6.12
12.299935,6732,6736,0,28,6.12
12.399955,6732,6736,0,28,6.12
12.499958,6732,6736,0,28,6.12
12.599934,6732,6736,0,28,6.12
12.699935,6732,6736,0,28,6.12
12.799936,6732,6736,0,28,6.12
12.899979,6732,6736,0,28,6.12
12.999935,6732,6736,0,28,6.12
13.099936,6732,6736,0,28,6.12
13.199934,6732,6736,0,28,6.12
13.299974,6732,6736,0,28,6.12
13.399935,6732,6736,0,28,6.12
13.499935,6732,6736,0,28,6.12
13.599934,6732,6736,0,28,6.12
13.699976,6732,6736,0,28,6.12
13.799937,6732,6736,0,28,6.12
13.899935,6732,6736,0,28,6.12
13.999943,6732,6736,0,28,6.12
14.099976,6732,6736,0,28,6.12
14.199936,6732,6736,0,28,6.12
14.299934,6732,6736,0,28,6.12
14.399934,6732,6736,0,28,6.12
14.49999,6732,6736,0,28,6.12
14.599935,6732,6736,0,28,6.12
14.699952,6732,6736,0,28,6.12
14.799935,6732,6736,0,28,6.12
14.899977,6732,6736,0,28,6.12
14.999934,6732,6736,0,28,6.12
